Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
MG,2022,MG3,USED,Automatic,16,19990,NSW,1.5
Mercedes-Benz,2011,E500,USED,Automatic,136517,32990,NSW,5.5
Renault,2022,Arkana,USED,Automatic,1035,34990,NSW,1.3
Land,2017,Rover,USED,Automatic,67662,62280,NSW,2.0
Toyota,2013,86,USED,Automatic,82012,24888,NSW,2.0
Honda,2014,Jazz,USED,Automatic,38229,17900,NSW,1.3
Toyota,2018,HiAce,USED,Automatic,16324,41999,NSW,2.7
Toyota,2016,HiAce,USED,Automatic,229829,27995,NSW,3.0
Volkswagen,2012,Golf,USED,Automatic,55676,14999,NSW,1.4
BMW,2014,X3,USED,Automatic,82624,24985,NSW,2.0
BMW,2011,118D,USED,Automatic,95204,13999,NSW,2.0
Ford,2014,Fiesta,USED,Automatic,76289,12400,NSW,1.0
Mitsubishi,2012,Outlander,USED,Automatic,219681,13999,NSW,2.4
Ford,2013,Fiesta,USED,Automatic,98079,11999,NSW,1.6
Honda,2018,Jazz,USED,Automatic,43274,19900,NSW,1.5
Subaru,2012,Outback,USED,Automatic,105672,17990,NSW,2.5
Mitsubishi,2018,Mirage,USED,Automatic,36836,14995,NSW,1.2
Toyota,2005,Camry,USED,Automatic,115821,8499,NSW,2.4
Hyundai,2011,I45,USED,Automatic,189711,12990,NSW,2.4
Ford,2015,Territory,USED,Automatic,173786,16999,NSW,2.7
Nissan,2018,Qashqai,USED,Automatic,114301,21950,NSW,2.0
Volkswagen,2013,Golf,USED,Manual,69197,24880,NSW,2.0
Hyundai,2015,Tucson,USED,Automatic,94377,23888,NSW,2.0
Ford,2016,Focus,USED,Automatic,94965,16999,NSW,1.5
Nissan,2019,X-Trail,USED,Automatic,99294,24490,NSW,2.5
Toyota,2021,Corolla,USED,Automatic,13694,44878,NSW,1.8
Toyota,2007,Yaris,USED,Automatic,264691,7949,NSW,1.5
Toyota,2010,Corolla,USED,Manual,238270,8800,NSW,1.8
Jeep,2015,Patriot,USED,Automatic,140964,13990,NSW,2.4
Toyota,2003,HiAce,USED,Automatic,266848,9999,NSW,2.4
Volvo,2013,S60,USED,Automatic,141000,14999,NSW,1.6
Mitsubishi,2016,Triton,USED,Automatic,240402,22750,NSW,2.4
Mercedes-Benz,2010,E250,USED,Automatic,101126,21950,NSW,1.8
Mercedes-Benz,2013,A250,USED,Automatic,117254,19999,NSW,2.0
Toyota,2012,86,USED,Manual,178747,19900,NSW,2.0
Mazda,2022,CX-5,USED,Automatic,10579,37990,NSW,2.5
Toyota,2010,Corolla,USED,Automatic,167101,12990,NSW,1.8
Ford,2013,Falcon,USED,Automatic,163161,16999,NSW,4.0
Abarth,2021,595,USED,Manual,13200,36990,NSW,1.4
Honda,2014,CR-V,USED,Automatic,103211,23880,NSW,2.4
Toyota,2007,Corolla,USED,Automatic,177751,10990,NSW,1.8
Toyota,2016,HiAce,USED,Automatic,119614,44900,NSW,2.7
Hyundai,2012,I30,USED,Automatic,125546,15880,NSW,1.8
Mazda,2013,6,USED,Automatic,163000,16995,NSW,2.5
Toyota,2008,Kluger,USED,Automatic,132864,19880,NSW,3.5
Hyundai,2018,Santa,USED,Automatic,71655,43999,NSW,2.2
BMW,2012,X3,USED,Automatic,109459,18888,NSW,2.0
Holden,2016,Cascada,USED,Automatic,65361,24995,NSW,1.6
Mercedes-Benz,2006,ML320,USED,Automatic,212953,9998,NSW,3.0
Mitsubishi,2009,Lancer,USED,Automatic,163012,9990,NSW,2.0
Audi,2014,A5,USED,Automatic,82119,27380,NSW,2.0
Kia,2018,RIO,USED,Automatic,42071,24999,NSW,1.0
Jeep,2015,Cherokee,USED,Automatic,85958,17999,NSW,3.2
Volkswagen,2011,Tiguan,USED,Automatic,118642,12990,NSW,2.0
Mitsubishi,2012,ASX,USED,Automatic,187265,13990,NSW,2.0
BMW,2016,220I,USED,Automatic,118120,28990,NSW,2.0
Hyundai,2022,Tucson,USED,Automatic,19978,36800,NSW,2.0
Mazda,2011,3,USED,Automatic,86804,13999,NSW,2.0
Volkswagen,2023,Tiguan,NEW,Automatic,15,56887,NSW,2.0
Hyundai,2014,Imax,USED,Automatic,183550,19888,NSW,2.5
Toyota,2014,Yaris,USED,Automatic,191748,8995,NSW,1.3
Toyota,2016,Kluger,USED,Automatic,139637,31900,NSW,3.5
Mitsubishi,2013,Lancer,USED,Automatic,165306,14995,NSW,2.0
Subaru,2016,XV,USED,Automatic,104887,22990,NSW,2.0
Mini,2017,Cooper,USED,Automatic,72501,31990,NSW,2.0
Holden,2010,Commodore,USED,Manual,169220,25999,NSW,6.0
Hyundai,2015,I20,USED,Automatic,111783,13990,NSW,1.4
Mazda,2018,BT-50,USED,Automatic,97460,30990,NSW,3.2
Mazda,2009,3,USED,Automatic,178389,8499,NSW,2.0
Hyundai,2011,I20,USED,Automatic,188262,10995,NSW,1.4
Mazda,2010,CX-7,USED,Automatic,152831,11669,NSW,2.3
Jeep,2017,Renegade,USED,Automatic,69218,24950,NSW,1.4
Mazda,2013,6,USED,Automatic,124093,16990,NSW,2.5
Kia,2013,Grand,USED,Automatic,98672,13995,NSW,3.5
Mitsubishi,2015,Lancer,USED,Automatic,61481,17995,NSW,2.0
Subaru,2018,Impreza,USED,Automatic,61177,22990,NSW,2.0
Mazda,2014,3,USED,Automatic,132648,16999,NSW,2.0
Mazda,2010,CX-7,USED,Automatic,174818,12800,NSW,2.3
Audi,2015,A5,USED,Automatic,115334,26880,NSW,2.0
BMW,2014,118I,USED,Automatic,57000,16990,NSW,1.6
Audi,2014,Q7,USED,Automatic,199941,28999,NSW,4.1
Suzuki,2015,Celerio,USED,Automatic,23316,13880,NSW,1.0
Subaru,2016,Liberty,USED,Automatic,226127,17950,NSW,3.6
Toyota,2019,C-HR,USED,Manual,58185,33888,NSW,1.2
Subaru,2021,Forester,USED,Automatic,16136,39990,NSW,2.5
Mazda,2015,CX-3,USED,Automatic,31531,23950,NSW,2.0
Jeep,2018,Grand,USED,Automatic,76472,41950,NSW,3.0
Hyundai,2018,I30,USED,Automatic,62719,21999,NSW,2.0
Nissan,2020,X-Trail,USED,Automatic,52035,27990,NSW,2.5
Honda,2010,City,USED,Automatic,146445,8950,NSW,1.5
Honda,2020,CR-V,USED,Automatic,35214,37880,NSW,1.5
Holden,2014,Cruze,USED,Manual,163000,7950,NSW,1.6
Jeep,2013,Grand,USED,Automatic,69001,24990,NSW,3.6
Toyota,2007,RAV4,USED,Automatic,106718,14999,NSW,2.4
Holden,2016,Commodore,USED,Automatic,59689,22999,NSW,3.0
Mercedes-Benz,2010,CLC200,USED,Automatic,177834,7999,NSW,1.8
Mazda,2013,6,USED,Automatic,105767,19999,NSW,2.5
Volkswagen,2018,Caddy,USED,Automatic,87293,30999,NSW,1.4
Honda,2013,Civic,USED,Automatic,154347,15990,NSW,1.8
Jeep,2021,Compass,USED,Automatic,20827,32888,NSW,2.4
Toyota,2010,Yaris,USED,Automatic,147626,10995,NSW,1.3
Jeep,2014,Grand,USED,Automatic,114424,29990,NSW,3.0
Mazda,2009,3,USED,Manual,153020,13950,NSW,2.5
Ford,2016,Ranger,USED,Automatic,98700,36999,NSW,3.2
Toyota,2013,86,USED,Automatic,103706,24990,NSW,2.0
Volkswagen,2013,Golf,USED,Automatic,126532,13990,NSW,1.4
Mitsubishi,2013,Lancer,USED,Automatic,73421,16990,NSW,2.0
Toyota,2009,Camry,USED,Automatic,155135,10995,NSW,2.4
Hyundai,2013,I20,USED,Automatic,123330,12990,NSW,1.4
Mitsubishi,2014,Lancer,USED,Automatic,44249,18990,NSW,2.4
Mazda,2018,2,USED,Automatic,27100,23999,NSW,1.5
Mazda,2009,3,USED,Automatic,70661,14995,NSW,2.0
Mitsubishi,2014,Triton,USED,Automatic,215100,18995,NSW,2.5
Volkswagen,2014,Golf,USED,Automatic,155036,14990,NSW,1.4
BMW,2012,M135I,USED,Automatic,67678,29950,NSW,3.0
Holden,2015,Commodore,USED,Automatic,133934,22999,NSW,3.6
Volkswagen,2008,Golf,USED,Automatic,174915,14990,NSW,2.0
Holden,2014,Cruze,USED,Automatic,117000,7888,NSW,1.8
Hyundai,2018,Imax,USED,Automatic,190176,27990,NSW,2.5
Mitsubishi,2013,Triton,USED,Manual,231675,19800,NSW,2.5
BMW,2021,330I,USED,Automatic,23332,67988,NSW,2.0
Volkswagen,2018,Golf,USED,Automatic,130647,21880,NSW,1.4
Audi,2019,Q3,USED,Automatic,47307,41888,NSW,1.4
Subaru,2016,Outback,USED,Automatic,74983,29990,NSW,2.5
Mazda,2007,6,USED,Manual,102496,7920,NSW,2.3
Hyundai,2015,Accent,USED,Automatic,84924,14999,NSW,1.6
Land,2013,Rover,USED,Automatic,159558,38950,NSW,3.0
